,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster,income_after_onehot,income_before_onehot
37904,White,Female,50,Local-gov,10,Exec-managerial,<=50K,>50K,-0.23087645299151163,0.45242300054469503,1,1,0
18566,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,1,0
37586,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.3068984300694217,0.08790019752498779,1,1,0
22497,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.4242547879347475,0.3760417357307835,1,1,1
45339,White,Male,40,Private,9,Sales,<=50K,>50K,-0.20922500739649258,-0.20228015145255498,0,1,0
11580,White,Male,40,Private,14,Exec-managerial,>50K,>50K,-0.525819112196118,0.6982323292326612,1,1,1
4260,White,Female,40,Self-emp-not-inc,7,Exec-managerial,>50K,>50K,-0.0370938592653517,0.15930623369316468,0,1,1
30057,White,Male,40,Self-emp-not-inc,10,Exec-managerial,<=50K,>50K,-0.33684973664708345,0.4418948636002832,1,1,0
47077,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
19452,White,Female,50,Self-emp-not-inc,9,Other-service,<=50K,>50K,-0.021623080712036735,-0.17166271707092434,0,1,0
23872,White,Male,60,Self-emp-inc,9,Sales,<=50K,>50K,-0.03819038687045304,0.31756192093238117,1,1,0
33106,Non-White,Male,30,Private,7,Craft-repair,<=50K,>50K,0.058533960213428514,-0.6022126258991375,0,1,0
32670,White,Male,50,Private,6,Transport-moving,<=50K,>50K,-0.005544213430318418,-0.34063864795856386,0,1,0
21278,White,Male,60,Self-emp-not-inc,13,Sales,<=50K,>50K,-0.12239342981175556,0.5164787379999844,1,1,0
29330,White,Male,40,Self-emp-inc,9,Craft-repair,<=50K,>50K,-0.3655678479792401,0.21172511417864615,1,1,0
40743,White,Male,40,Private,10,Transport-moving,<=50K,>50K,-0.181576308383643,-0.18740738050902897,0,1,0
7733,White,Male,60,Unknown,9,Unknown,<=50K,>50K,2.137188242413782,0.9247276309114513,2,1,0
30534,White,Male,50,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.5433809531973343,0.8064839705006566,1,1,1
41102,White,Male,40,Private,9,Sales,<=50K,>50K,-0.20922500739649258,-0.20228015145255498,0,1,0
17363,White,Male,20,Private,13,Exec-managerial,<=50K,>50K,-0.298559577386246,0.16254952055766564,1,1,0
38748,White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.219864807780374,-0.2437848474351986,0,1,0
10189,White,Female,60,Private,9,Exec-managerial,<=50K,>50K,0.0891646302573106,0.09328665922026769,0,1,0
33849,White,Male,50,Private,9,Machine-op-inspct,<=50K,>50K,-0.15644665255766885,-0.39485596379996446,0,1,0
12081,White,Male,20,Private,13,Sales,<=50K,>50K,-0.19310309609169238,-0.11863070945278816,0,1,0
47296,White,Male,50,Local-gov,12,Protective-serv,>50K,>50K,-0.41786242086376824,0.6490817040626571,1,1,1
29465,White,Male,60,Unknown,9,Unknown,<=50K,>50K,2.137188242413782,0.9247276309114513,2,1,0
3871,White,Male,40,Self-emp-not-inc,10,Exec-managerial,<=50K,>50K,-0.33684973664708345,0.4418948636002832,1,1,0
37366,Non-White,Female,20,Unknown,11,Unknown,<=50K,>50K,2.0893544061449987,0.5627023994653096,2,1,0
22299,White,Female,30,Private,13,Prof-specialty,<=50K,>50K,-0.37625307671730374,0.47527579912124207,1,1,0
3903,White,Male,40,Self-emp-not-inc,13,Sales,>50K,>50K,-0.41255421560038175,0.42707890038492136,1,1,1
35440,White,Female,30,Private,13,Sales,<=50K,>50K,-0.21387011098728118,-0.07589569291191771,0,1,0
6571,White,Male,40,Private,9,Machine-op-inspct,<=50K,>50K,-0.1897458141650884,-0.36925588725158753,0,1,0
43593,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,1,0
43051,White,Female,40,Private,15,Prof-specialty,>50K,>50K,-0.47565618996870024,1.0774093065921164,1,1,1
11748,White,Male,20,Private,12,Tech-support,<=50K,>50K,-0.1454191311631972,-0.22531131108337277,0,1,0
24901,White,Male,60,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.016737644280795484,0.17730003514005088,1,1,0
14801,White,Male,40,State-gov,9,Protective-serv,<=50K,>50K,-0.4231224357393268,0.5583659285809265,1,1,0
22935,White,Male,30,Local-gov,9,Protective-serv,<=50K,>50K,-0.37996925132183795,0.3984275686780399,1,1,0
22354,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.19532278367977227,-0.3651288656631287,0,1,0
10735,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,1,0
44570,White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.219864807780374,-0.2437848474351986,0,1,0
28493,White,Male,50,Private,9,Adm-clerical,<=50K,>50K,-0.1517786233137837,-0.2923024216283069,0,1,0
1135,White,Male,30,Self-emp-not-inc,10,Craft-repair,<=50K,>50K,-0.24406790657208893,0.022933646223227275,0,1,0
5006,White,Male,50,Private,15,Exec-managerial,>50K,>50K,-0.49911587708554234,0.8568312249737277,1,1,1
47431,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,1,0
40272,White,Female,40,Private,11,Prof-specialty,<=50K,>50K,-0.3443499709733413,0.42631181952274677,1,1,0
11424,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.17485402171250283,-0.18793973021343424,0,1,1
23232,White,Male,30,Private,9,Sales,<=50K,>50K,-0.18468298329589083,-0.3236241696804851,0,1,0
39672,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
39160,White,Male,50,Private,9,Craft-repair,<=50K,>50K,-0.21314252110923385,-0.24431719713960387,0,1,0
9408,White,Male,40,Private,9,Machine-op-inspct,<=50K,>50K,-0.1897458141650884,-0.36925588725158753,0,1,0
27513,White,Male,30,Private,9,Sales,<=50K,>50K,-0.18468298329589083,-0.3236241696804851,0,1,0
19300,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.3068984300694217,0.08790019752498779,1,1,0
30435,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.43380765395363285,0.5093423133277719,1,1,1
3931,White,Female,40,State-gov,9,Adm-clerical,<=50K,>50K,-0.1914715705427064,0.11463752820402992,1,1,0
23841,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.4242547879347475,0.3760417357307835,1,1,1
28912,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
43975,White,Male,30,Private,9,Prof-specialty,<=50K,>50K,-0.3470659490259134,0.22754732235267466,1,1,0
25332,White,Male,30,Private,15,Prof-specialty,>50K,>50K,-0.5647994990278291,1.0310785453168805,1,1,1
19117,Non-White,Male,30,State-gov,13,Adm-clerical,<=50K,>50K,-0.3674127652422082,0.2800949195983299,1,1,0
1238,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
29292,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
9652,White,Male,20,Private,13,Prof-specialty,<=50K,>50K,-0.35548606182171494,0.4325407825803716,1,1,0
8690,White,Male,30,Local-gov,9,Transport-moving,<=50K,>50K,-0.2967907421441188,0.05262992289856897,0,1,0
25343,White,Male,30,Private,9,Sales,<=50K,>50K,-0.18468298329589083,-0.3236241696804851,0,1,0
7779,White,Male,40,Local-gov,12,Protective-serv,>50K,>50K,-0.4511615824711878,0.674681780611034,1,1,1
8079,White,Female,30,State-gov,13,Prof-specialty,<=50K,>50K,-0.49633219549853747,0.9316289293578962,1,1,0
36456,White,Female,30,Self-emp-not-inc,12,Prof-specialty,>50K,>50K,-0.34048767026769927,0.6140615772212592,1,1,1
26787,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
23971,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
11502,White,Male,30,Private,9,Prof-specialty,<=50K,>50K,-0.3470659490259134,0.22754732235267466,1,1,0
37657,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,1,0
1537,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
42750,White,Female,30,Private,12,Adm-clerical,<=50K,>50K,-0.09350073470961907,-0.30814942655549027,0,1,0
2859,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,1,0
3012,White,Male,50,State-gov,9,Other-service,<=50K,>50K,-0.19493078530023272,0.05308635200220928,0,1,0
15734,White,Female,30,Private,10,Exec-managerial,<=50K,>50K,-0.13816563203398288,-0.061079729696555896,0,1,0
22918,White,Male,50,State-gov,14,Adm-clerical,>50K,>50K,-0.48299536560008927,0.7833829592831096,1,1,1
36662,Non-White,Female,40,Federal-gov,9,Adm-clerical,<=50K,>50K,-0.0926146322733637,-0.2339704775420113,0,1,0
3895,White,Male,50,Private,10,Transport-moving,<=50K,>50K,-0.14827714677622345,-0.2130074570574059,0,1,0
46506,White,Male,40,State-gov,14,Prof-specialty,>50K,>50K,-0.7028247154128207,1.4245767214920213,1,1,1
6310,White,Male,50,Self-emp-not-inc,13,Exec-managerial,<=50K,>50K,-0.4847115352875158,0.6826590538469982,1,1,0
29605,White,Male,50,Private,13,Prof-specialty,>50K,>50K,-0.48118127237021646,0.6460329977534894,1,1,1
44489,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.43380765395363285,0.5093423133277719,1,1,1
5773,White,Male,60,Private,6,Machine-op-inspct,<=50K,>50K,0.28143640436617384,-0.35110977361151285,0,1,0
45930,White,Male,40,Private,14,Tech-support,>50K,>50K,-0.46890081977544196,0.47820303760782035,1,1,1
18308,White,Male,30,Private,11,Craft-repair,<=50K,>50K,-0.3083269896226084,-0.18762740292432087,0,1,0
29611,White,Male,50,Private,9,Transport-moving,<=50K,>50K,-0.18656564617295446,-0.2693849239835755,0,1,0
9964,White,Male,50,Self-emp-not-inc,11,Exec-managerial,<=50K,>50K,-0.4282664054429517,0.5123510560205728,1,1,0
32003,White,Male,40,Private,11,Prof-specialty,<=50K,>50K,-0.4580353041330719,0.501325076475441,1,1,0
29674,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.19532278367977227,-0.3651288656631287,0,1,0
20166,White,Male,50,Federal-gov,9,Prof-specialty,<=50K,>50K,-0.4156055672417346,0.5419899695745665,1,1,0
16690,White,Male,30,State-gov,10,Machine-op-inspct,<=50K,>50K,-0.24699440944898937,0.022130691683306097,0,1,0
15383,Non-White,Male,70,Self-emp-inc,3,Exec-managerial,<=50K,>50K,0.1835636600778786,0.6422781564077384,1,1,0
1253,White,Female,40,Self-emp-inc,13,Adm-clerical,>50K,>50K,-0.3333910778751803,0.4114683664585105,1,1,1
43077,White,Male,30,Federal-gov,10,Adm-clerical,<=50K,>50K,-0.1995440171465095,-0.1129701908393519,0,1,0
10077,White,Male,40,Private,16,Sales,>50K,>50K,-0.47237196043338625,0.6188397229027474,1,1,1
41564,White,Male,60,Unknown,13,Unknown,<=50K,>50K,1.9943157815626613,1.2474693646327129,2,1,0
8506,White,Male,50,Self-emp-not-inc,14,Exec-managerial,>50K,>50K,-0.5529766979414666,0.979249570800499,1,1,1
27591,White,Male,40,Federal-gov,14,Sales,>50K,>50K,-0.49765938662420334,0.635750804764546,1,1,1
36361,White,Male,60,Private,9,Machine-op-inspct,<=50K,>50K,0.10041497162353782,-0.2798560496365245,0,1,0
29175,White,Male,40,Self-emp-not-inc,14,Craft-repair,>50K,>50K,-0.5180360535744934,0.7072324481997502,1,1,1
45003,White,Male,30,Private,9,Exec-managerial,<=50K,>50K,-0.29013946459044443,-0.042443939670031294,0,1,0
16733,Non-White,Male,30,Private,10,Transport-moving,<=50K,>50K,-0.10095970907229326,-0.4197049797886848,0,1,0
43902,White,Male,50,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.40050849234621333,0.483742236779395,1,1,1
9721,White,Male,30,Federal-gov,9,Craft-repair,<=50K,>50K,-0.29919641433869065,-0.12136243327681848,0,1,0
12746,White,Female,30,Private,11,Exec-managerial,<=50K,>50K,-0.2628814624372706,0.034976539272110696,0,1,0
18423,White,Male,50,Private,9,Machine-op-inspct,<=50K,>50K,-0.15644665255766885,-0.39485596379996446,0,1,0
28218,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.43380765395363285,0.5093423133277719,1,1,1
16053,White,Male,50,Private,9,Transport-moving,<=50K,>50K,-0.18656564617295446,-0.2693849239835755,0,1,0
6481,White,Female,40,State-gov,16,Prof-specialty,>50K,>50K,-0.641148711784912,1.551351088219867,1,1,1
17627,White,Male,30,Self-emp-inc,13,Craft-repair,>50K,>50K,-0.48389828472975926,0.41312282967197766,1,1,1
7974,White,Female,30,Self-emp-not-inc,14,Prof-specialty,>50K,>50K,-0.504974986724023,1.0784836341909576,1,1,1
3379,White,Male,30,Self-emp-inc,9,Sales,>50K,>50K,-0.30380914855847746,0.106818065089388,1,1,1
10410,White,Male,40,Private,9,Machine-op-inspct,<=50K,>50K,-0.1897458141650884,-0.36925588725158753,0,1,0
2081,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
21375,White,Male,30,Private,12,Craft-repair,<=50K,>50K,-0.26854996566479983,-0.18515094511409302,0,1,0
8251,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
32999,White,Male,40,Self-emp-inc,16,Prof-specialty,>50K,>50K,-0.7538810914259956,1.60045344970578,1,1,1
36854,White,Female,40,Private,13,Adm-clerical,<=50K,>50K,-0.21426491261259356,-0.018973868311362604,0,1,0
14926,White,Male,40,State-gov,11,Exec-managerial,>50K,>50K,-0.5211879384788367,0.6876869446893892,1,1,1
14581,White,Female,50,Self-emp-not-inc,9,Adm-clerical,>50K,>50K,-0.09855003750682143,-0.06069836046478638,0,1,1
43065,White,Male,40,Self-emp-not-inc,16,Prof-specialty,>50K,>50K,-0.6952116735161772,1.4766285330521218,1,1,1
38240,White,Male,50,Self-emp-not-inc,13,Prof-specialty,<=50K,>50K,-0.5416380197229848,0.9526503158697042,1,1,0
39755,White,Male,40,Self-emp-inc,14,Exec-managerial,>50K,>50K,-0.6449452774587047,1.1286745640025342,1,1,1
29810,White,Male,40,Private,11,Adm-clerical,<=50K,>50K,-0.27150511592776005,-0.11426860918509378,0,1,0
19486,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
42833,Non-White,Female,40,Private,13,Prof-specialty,<=50K,>50K,-0.3447205256071575,0.48566623629744643,1,1,0
32683,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379006448666,-0.49059990547951765,0,1,0
21435,White,Male,20,Private,11,Prof-specialty,<=50K,>50K,-0.2990409319771508,0.26223278475394624,1,1,0
31630,White,Male,50,Local-gov,9,Transport-moving,<=50K,>50K,-0.288033604637301,0.14837386457812216,1,1,0
24682,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,1,0
46928,White,Male,40,Private,9,Sales,<=50K,>50K,-0.20922500739649258,-0.20228015145255498,0,1,0
16022,White,Male,40,Private,6,Machine-op-inspct,<=50K,>50K,-0.008724381422452375,-0.4405096112265759,0,1,0
28864,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
37392,White,Male,30,Self-emp-not-inc,10,Craft-repair,<=50K,>50K,-0.24406790657208893,0.022933646223227275,0,1,0
6932,White,Male,30,Private,10,Machine-op-inspct,<=50K,>50K,-0.12691529066775564,-0.4342224385533481,0,1,0
17476,Non-White,Male,40,Federal-gov,9,Adm-clerical,>50K,>50K,-0.20629996543309426,-0.1589572205893171,0,1,1
35530,White,Male,60,Private,7,Sales,>50K,>50K,0.3052948220108659,-0.2640782198657466,0,1,1
46759,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
10854,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
1826,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379006448666,-0.49059990547951765,0,1,0
48591,White,Female,50,Local-gov,14,Prof-specialty,<=50K,>50K,-0.5372290603287834,1.2853690463159937,1,1,0
23558,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379006448666,-0.49059990547951765,0,1,0
44800,White,Male,40,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.5766801148047538,0.8320840470490335,1,1,1
13492,White,Male,70,Unknown,14,Unknown,>50K,>50K,2.133377263094961,1.720718636922426,2,1,1
4650,White,Female,30,Private,11,Prof-specialty,<=50K,>50K,-0.3198079468727396,0.30496780129481665,1,1,0
22518,White,Male,50,Private,9,Exec-managerial,>50K,>50K,-0.28138232708362665,0.053300002009521896,0,1,1
41504,White,Male,50,Self-emp-inc,16,Prof-specialty,>50K,>50K,-0.720581929818576,1.5748533731574033,1,1,1
16189,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379006448666,-0.49059990547951765,0,1,0
17442,White,Male,60,Private,13,Adm-clerical,<=50K,>50K,-0.037789459983697926,0.1454392262563947,0,1,0
24809,White,Male,30,Local-gov,9,Craft-repair,<=50K,>50K,-0.32336761708039824,0.07769764974254062,1,1,0
23625,White,Male,30,Self-emp-inc,10,Transport-moving,>50K,>50K,-0.2761604495456279,0.12169083603291402,1,1,1
5050,White,Female,30,Private,10,Exec-managerial,<=50K,>50K,-0.13816563203398288,-0.061079729696555896,0,1,0
2306,White,Male,40,Private,6,Machine-op-inspct,<=50K,>50K,-0.008724381422452375,-0.4405096112265759,0,1,0
45830,White,Female,40,Private,10,Exec-managerial,<=50K,>50K,-0.1627076561345846,0.060264288531374235,0,1,0
35188,White,Female,30,Private,10,Transport-moving,<=50K,>50K,-0.043348951123310685,-0.3837646556896533,0,1,0
12084,White,Male,40,Private,10,Craft-repair,<=50K,>50K,-0.20815318331992239,-0.16233965366505732,0,1,0
15560,White,Male,40,Private,10,Machine-op-inspct,<=50K,>50K,-0.1514573147683574,-0.31287842032541796,0,1,0
24968,Non-White,Female,40,Local-gov,14,Exec-managerial,>50K,>50K,-0.457527162289986,0.930024279789939,1,1,1
39901,White,Female,30,Private,10,Exec-managerial,<=50K,>50K,-0.13816563203398288,-0.061079729696555896,0,1,0
45917,Non-White,Female,30,Private,13,Other-service,>50K,>50K,-0.056721356506459174,-0.3622358241971564,0,1,1
34356,Non-White,Male,30,Local-gov,9,Other-service,<=50K,>50K,-0.1290021872794154,-0.1922055124040261,0,1,0
39696,White,Male,40,Federal-gov,9,Adm-clerical,>50K,>50K,-0.26237454064384225,-0.0480036395375914,0,1,1
37963,White,Male,30,Local-gov,10,Protective-serv,<=50K,>50K,-0.34168075192510694,0.4548050356042095,1,1,0
34853,White,Male,50,Federal-gov,9,Craft-repair,>50K,>50K,-0.2904392768318729,-0.025618491597265283,0,1,1
4085,White,Male,30,Private,12,Adm-clerical,<=50K,>50K,-0.20718606786934965,-0.23313616960279607,0,1,0
2320,White,Male,30,Federal-gov,9,Adm-clerical,<=50K,>50K,-0.2378325165432405,-0.16934765776552152,0,1,0
23575,White,Female,40,Private,11,Exec-managerial,<=50K,>50K,-0.28742348653787236,0.1563205575000408,1,1,0
21927,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,1,0
41714,White,Male,40,Private,10,Craft-repair,<=50K,>50K,-0.20815318331992239,-0.16233965366505732,0,1,0
5241,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
7298,Non-White,Male,40,Private,11,Machine-op-inspct,<=50K,>50K,-0.22009856996089716,-0.32777573240847707,0,1,0
5388,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
34477,White,Female,40,State-gov,9,Exec-managerial,<=50K,>50K,-0.32107527431254934,0.46023995184185873,1,1,0
29728,White,Male,40,Self-emp-not-inc,16,Prof-specialty,>50K,>50K,-0.6952116735161772,1.4766285330521218,1,1,1
17713,White,Female,30,Federal-gov,12,Adm-clerical,>50K,>50K,-0.1707974904322581,-0.08945072101315169,0,1,1
11786,White,Male,60,Self-emp-not-inc,10,Exec-managerial,>50K,>50K,-0.046688950858457264,0.5312947012153463,1,1,1
42220,White,Male,60,Private,9,Transport-moving,<=50K,>50K,0.07029597800825223,-0.15438500982013553,0,1,0
22746,Non-White,Female,40,Local-gov,14,Prof-specialty,>50K,>50K,-0.514453646725455,1.200015541812645,1,1,1
35677,White,Female,40,Local-gov,14,Prof-specialty,<=50K,>50K,-0.5705282219362029,1.3109691228643707,1,1,0
7920,White,Male,40,Private,11,Craft-repair,<=50K,>50K,-0.3328690137232102,-0.06628338469639074,0,1,0
18130,Non-White,Male,20,Self-emp-not-inc,9,Transport-moving,<=50K,>50K,-0.06525260776647321,-0.28721340209220436,0,1,0
45864,White,Female,30,Private,13,Sales,<=50K,>50K,-0.21387011098728118,-0.07589569291191771,0,1,0
33049,White,Male,50,Private,13,Prof-specialty,>50K,>50K,-0.48118127237021646,0.6460329977534894,1,1,1
18386,White,Male,30,Private,9,Protective-serv,<=50K,>50K,-0.27850129285749137,-0.01933121988365778,0,1,0
47384,White,Male,50,Self-emp-not-inc,11,Craft-repair,<=50K,>50K,-0.3600265994685589,0.21473385687144708,1,1,0
33551,White,Male,60,Private,9,Sales,<=50K,>50K,0.08093577839213364,-0.1128803138374919,0,1,0
18293,White,Male,50,Federal-gov,9,Adm-clerical,>50K,>50K,-0.2290753790364227,-0.07360371608596833,0,1,1
8049,White,Male,30,Self-emp-not-inc,13,Sales,<=50K,>50K,-0.38801219149978,0.30573488215699124,1,1,0
37648,White,Male,40,Federal-gov,14,Prof-specialty,>50K,>50K,-0.6600423523542259,1.1869222967977058,1,1,1
29788,White,Female,30,Local-gov,13,Prof-specialty,<=50K,>50K,-0.4777210351816503,0.8930345876829398,1,1,0
37812,Non-White,Male,40,Federal-gov,13,Exec-managerial,>50K,>50K,-0.4787761300540581,0.5093869367697733,1,1,1
41579,White,Male,50,Federal-gov,9,Adm-clerical,>50K,>50K,-0.2290753790364227,-0.07360371608596833,0,1,1
48514,White,Male,20,Private,13,Exec-managerial,<=50K,>50K,-0.298559577386246,0.16254952055766564,1,1,0
5570,White,Female,40,Private,12,Exec-managerial,<=50K,>50K,-0.24764646258006373,0.15879701531026866,1,1,0
44483,Non-White,Male,40,Private,13,Sales,>50K,>50K,-0.29602289303686546,0.009508001216980902,0,1,1
15616,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.19532278367977227,-0.3651288656631287,0,1,0
4654,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.19532278367977227,-0.3651288656631287,0,1,0
33220,White,Male,20,Private,13,Exec-managerial,<=50K,>50K,-0.298559577386246,0.16254952055766564,1,1,0
39976,White,Male,30,Private,11,Machine-op-inspct,<=50K,>50K,-0.2516311210710434,-0.3381661695846815,0,1,0
16412,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.3068984300694217,0.08790019752498779,1,1,0
