,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster,income_before_onehot,income_after_onehot
23573,White,Male,30,Private,13,Tech-support,>50K,<=50K,-0.37609363302088933,0.06026850242638942,1,1,0
22918,White,Male,50,State-gov,14,Adm-clerical,>50K,>50K,-0.48299536560008927,0.7833829592831096,1,1,1
46506,White,Male,40,State-gov,14,Prof-specialty,>50K,>50K,-0.7028247154128207,1.4245767214920213,1,1,1
31259,White,Male,50,State-gov,13,Exec-managerial,>50K,<=50K,-0.5443339067159813,0.8323948659674376,1,1,0
29605,White,Male,50,Private,13,Prof-specialty,>50K,>50K,-0.48118127237021646,0.6460329977534894,1,1,1
44489,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.43380765395363285,0.5093423133277719,1,1,1
45930,White,Male,40,Private,14,Tech-support,>50K,>50K,-0.46890081977544196,0.47820303760782035,1,1,1
439,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
1253,White,Female,40,Self-emp-inc,13,Adm-clerical,>50K,>50K,-0.3333910778751803,0.4114683664585105,1,1,1
10077,White,Male,40,Private,16,Sales,>50K,>50K,-0.47237196043338625,0.6188397229027474,1,1,1
8506,White,Male,50,Self-emp-not-inc,14,Exec-managerial,>50K,>50K,-0.5529766979414666,0.979249570800499,1,1,1
27591,White,Male,40,Federal-gov,14,Sales,>50K,>50K,-0.49765938662420334,0.635750804764546,1,1,1
41547,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
29175,White,Male,40,Self-emp-not-inc,14,Craft-repair,>50K,>50K,-0.5180360535744934,0.7072324481997502,1,1,1
43902,White,Male,50,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.40050849234621333,0.483742236779395,1,1,1
28218,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.43380765395363285,0.5093423133277719,1,1,1
6481,White,Female,40,State-gov,16,Prof-specialty,>50K,>50K,-0.641148711784912,1.551351088219867,1,1,1
17627,White,Male,30,Self-emp-inc,13,Craft-repair,>50K,>50K,-0.48389828472975926,0.41312282967197766,1,1,1
7974,White,Female,30,Self-emp-not-inc,14,Prof-specialty,>50K,>50K,-0.504974986724023,1.0784836341909576,1,1,1
3379,White,Male,30,Self-emp-inc,9,Sales,>50K,>50K,-0.30380914855847746,0.106818065089388,1,1,1
2081,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
8251,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
32999,White,Male,40,Self-emp-inc,16,Prof-specialty,>50K,>50K,-0.7538810914259956,1.60045344970578,1,1,1
14926,White,Male,40,State-gov,11,Exec-managerial,>50K,>50K,-0.5211879384788367,0.6876869446893892,1,1,1
14581,White,Female,50,Self-emp-not-inc,9,Adm-clerical,>50K,>50K,-0.09855003750682143,-0.06069836046478638,0,1,1
43065,White,Male,40,Self-emp-not-inc,16,Prof-specialty,>50K,>50K,-0.6952116735161772,1.4766285330521218,1,1,1
39755,White,Male,40,Self-emp-inc,14,Exec-managerial,>50K,>50K,-0.6449452774587047,1.1286745640025342,1,1,1
13265,White,Male,40,Private,14,Prof-specialty,>50K,<=50K,-0.582745596631587,0.9682235912553672,1,1,0
19486,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
3349,White,Male,50,State-gov,10,Exec-managerial,>50K,<=50K,-0.36317294646812937,0.5660305991723457,1,1,0
28864,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
17476,Non-White,Male,40,Federal-gov,9,Adm-clerical,>50K,>50K,-0.20629996543309426,-0.1589572205893171,0,1,1
35530,White,Male,60,Private,7,Sales,>50K,>50K,0.3052948220108659,-0.2640782198657466,0,1,1
44800,White,Male,40,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.5766801148047538,0.8320840470490335,1,1,1
13492,White,Male,70,Unknown,14,Unknown,>50K,>50K,2.133377263094961,1.720718636922426,2,1,1
22518,White,Male,50,Private,9,Exec-managerial,>50K,>50K,-0.28138232708362665,0.053300002009521896,0,1,1
41504,White,Male,50,Self-emp-inc,16,Prof-specialty,>50K,>50K,-0.720581929818576,1.5748533731574033,1,1,1
23625,White,Male,30,Self-emp-inc,10,Transport-moving,>50K,>50K,-0.2761604495456279,0.12169083603291402,1,1,1
24968,Non-White,Female,40,Local-gov,14,Exec-managerial,>50K,>50K,-0.457527162289986,0.930024279789939,1,1,1
45917,Non-White,Female,30,Private,13,Other-service,>50K,>50K,-0.056721356506459174,-0.3622358241971564,0,1,1
129,White,Male,40,Private,14,Prof-specialty,>50K,<=50K,-0.582745596631587,0.9682235912553672,1,1,0
39696,White,Male,40,Federal-gov,9,Adm-clerical,>50K,>50K,-0.26237454064384225,-0.0480036395375914,0,1,1
34853,White,Male,50,Federal-gov,9,Craft-repair,>50K,>50K,-0.2904392768318729,-0.025618491597265283,0,1,1
6941,White,Male,40,Local-gov,13,Prof-specialty,>50K,<=50K,-0.6159483924419826,1.0893918628635642,1,1,0
5241,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
29728,White,Male,40,Self-emp-not-inc,16,Prof-specialty,>50K,>50K,-0.6952116735161772,1.4766285330521218,1,1,1
17713,White,Female,30,Federal-gov,12,Adm-clerical,>50K,>50K,-0.1707974904322581,-0.08945072101315169,0,1,1
12380,White,Male,50,Private,10,Prof-specialty,>50K,<=50K,-0.3000203121223646,0.3796687309583975,1,1,0
11786,White,Male,60,Self-emp-not-inc,10,Exec-managerial,>50K,>50K,-0.046688950858457264,0.5312947012153463,1,1,1
22746,Non-White,Female,40,Local-gov,14,Prof-specialty,>50K,>50K,-0.514453646725455,1.200015541812645,1,1,1
45602,White,Male,30,Federal-gov,13,Prof-specialty,>50K,<=50K,-0.5672351655996734,0.7689877616162749,1,1,0
33049,White,Male,50,Private,13,Prof-specialty,>50K,>50K,-0.48118127237021646,0.6460329977534894,1,1,1
18293,White,Male,50,Federal-gov,9,Adm-clerical,>50K,>50K,-0.2290753790364227,-0.07360371608596833,0,1,1
35385,White,Male,50,Private,12,Exec-managerial,>50K,<=50K,-0.32803263413237477,0.20821019571458593,1,1,0
37648,White,Male,40,Federal-gov,14,Prof-specialty,>50K,>50K,-0.6600423523542259,1.1869222967977058,1,1,1
37812,Non-White,Male,40,Federal-gov,13,Exec-managerial,>50K,>50K,-0.4787761300540581,0.5093869367697733,1,1,1
41579,White,Male,50,Federal-gov,9,Adm-clerical,>50K,>50K,-0.2290753790364227,-0.07360371608596833,0,1,1
44483,Non-White,Male,40,Private,13,Sales,>50K,>50K,-0.29602289303686546,0.009508001216980902,0,1,1
43613,White,Male,70,Self-emp-inc,10,Exec-managerial,>50K,<=50K,0.10196827541797492,0.8317783732052169,1,1,0
39885,White,Male,50,State-gov,15,Prof-specialty,>50K,>50K,-0.6761214803022451,1.5831756172330878,1,1,1
29469,White,Male,50,Private,13,Sales,>50K,>50K,-0.3187983066401939,0.09486150572032968,1,1,1
36158,White,Male,30,Private,14,Sales,>50K,>50K,-0.3958206068009626,0.29570808099427726,1,1,1
46868,Non-White,Male,40,Private,6,Transport-moving,>50K,>50K,0.017231200173010018,-0.4259921524619127,0,1,1
41294,White,Male,40,Private,13,Prof-specialty,>50K,<=50K,-0.5144804339776361,0.6716330743018664,1,1,0
9697,White,Male,40,Local-gov,15,Prof-specialty,>50K,>50K,-0.6908094815927774,1.5701813521065082,1,1,1
48359,Non-White,Male,40,Private,10,Craft-repair,>50K,>50K,-0.1520786081091744,-0.273293234716783,0,1,1
17151,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
8867,White,Male,50,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.40050849234621333,0.483742236779395,1,1,1
19368,White,Male,40,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.5766801148047538,0.8320840470490335,1,1,1
3494,White,Male,40,Federal-gov,9,Adm-clerical,>50K,>50K,-0.26237454064384225,-0.0480036395375914,0,1,1
13542,White,Female,50,Private,15,Prof-specialty,>50K,>50K,-0.4423570283612807,1.0518092300437394,1,1,1
2906,White,Male,40,Private,12,Exec-managerial,>50K,>50K,-0.36133179573979435,0.23381027226296286,1,1,1
16949,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
48276,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
37691,White,Male,30,Private,12,Exec-managerial,>50K,>50K,-0.3367897716391926,0.11246625403503273,1,1,1
31086,Non-White,Male,50,Private,10,Transport-moving,>50K,>50K,-0.09220257156547546,-0.3239610381091316,0,1,1
3615,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
33694,White,Male,30,Self-emp-inc,9,Craft-repair,>50K,>50K,-0.34102582387863833,0.09038109595071603,1,1,1
16179,White,Male,50,State-gov,13,Prof-specialty,>50K,>50K,-0.6012603911514502,1.1023861279901437,1,1,1
7702,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
19351,White,Male,30,Private,13,Sales,>50K,<=50K,-0.3275554441470117,-0.0008824359592235124,0,1,0
12010,White,Male,50,Private,9,Exec-managerial,>50K,>50K,-0.28138232708362665,0.053300002009521896,0,1,1
48199,White,Male,40,Local-gov,9,Protective-serv,>50K,>50K,-0.40451127542243964,0.51977158690597,1,1,1
14217,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.43380765395363285,0.5093423133277719,1,1,1
33169,White,Male,20,Self-emp-inc,16,Prof-specialty,>50K,>50K,-0.5948867192700744,1.3613611579842855,1,1,1
34730,White,Male,50,Private,13,Sales,>50K,>50K,-0.3187983066401939,0.09486150572032968,1,1,1
30209,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
24800,White,Male,50,Private,11,Handlers-cleaners,>50K,>50K,-0.2107334065473772,-0.2775105278774226,0,1,1
45051,White,Male,30,Local-gov,13,Exec-managerial,>50K,<=50K,-0.534479883905912,0.698056582612928,1,1,0
48736,White,Male,50,Private,13,Prof-specialty,>50K,>50K,-0.48118127237021646,0.6460329977534894,1,1,1
20700,White,Male,50,Private,13,Adm-clerical,>50K,>50K,-0.2946510841649046,0.03043931209295467,0,1,1
8596,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
35028,White,Male,40,State-gov,13,Exec-managerial,>50K,>50K,-0.5776330683234008,0.8579949425158145,1,1,1
18851,White,Male,30,Self-emp-inc,9,Sales,>50K,>50K,-0.30380914855847746,0.106818065089388,1,1,1
27367,White,Male,30,Private,14,Exec-managerial,>50K,>50K,-0.5012770880955162,0.576888311004731,1,1,1
12276,Non-White,Male,40,Local-gov,13,Exec-managerial,>50K,>50K,-0.5029473327957656,0.7084470197891324,1,1,1
4712,White,Male,30,Private,14,Exec-managerial,>50K,>50K,-0.5012770880955162,0.576888311004731,1,1,1
12537,White,Male,40,Private,16,Prof-specialty,>50K,>50K,-0.6347549261634089,1.1700112149359072,1,1,1
25988,White,Male,50,Private,10,Exec-managerial,>50K,>50K,-0.24309382768689564,0.10967746893569151,1,1,1
10927,White,Male,50,Private,14,Tech-support,>50K,<=50K,-0.4356016581680224,0.4526029610594434,1,1,0
31695,White,Male,30,Private,16,Prof-specialty,>50K,<=50K,-0.6102129020628071,1.048667196707977,1,1,0
4564,White,Male,40,Self-emp-not-inc,13,Sales,>50K,>50K,-0.41255421560038175,0.42707890038492136,1,1,1
13047,White,Male,30,Private,15,Prof-specialty,>50K,>50K,-0.5647994990278291,1.0310785453168805,1,1,1
22622,White,Male,40,Federal-gov,12,Craft-repair,>50K,>50K,-0.37038874548804057,0.15489177865617565,1,1,1
20746,White,Male,50,Self-emp-not-inc,15,Prof-specialty,>50K,>50K,-0.6164991088737796,1.4334398051126485,1,1,1
34656,White,Male,30,Self-emp-inc,13,Sales,>50K,>50K,-0.4466816094095984,0.42955979881064965,1,1,1
23911,White,Male,30,Self-emp-inc,10,Exec-managerial,>50K,>50K,-0.3709771304563001,0.4443757620260114,1,1,1
13086,White,Male,40,Private,16,Exec-managerial,>50K,>50K,-0.5778284417279399,0.9000199529132011,1,1,1
26326,White,Male,30,Private,12,Tech-support,>50K,<=50K,-0.2798714792185166,-0.10756303758980815,0,1,0
21916,White,Male,40,Federal-gov,10,Transport-moving,>50K,>50K,-0.25887306410628197,0.03129132503330959,0,1,1
14704,White,Male,30,Private,16,Exec-managerial,>50K,>50K,-0.5532864176273381,0.778675934685271,1,1,1
29196,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.2518509651937134,0.013933527256138304,0,1,0
38737,White,Male,60,Self-emp-not-inc,13,Prof-specialty,>50K,>50K,-0.28477639554177814,1.0676502300331443,1,1,1
29897,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,1,0
30789,White,Male,40,Private,12,Sales,>50K,<=50K,-0.2558753144452407,-0.04736995774749094,0,1,0
38887,White,Male,50,Private,10,Exec-managerial,>50K,>50K,-0.24309382768689564,0.10967746893569151,1,1,1
28698,White,Male,50,Federal-gov,9,Craft-repair,>50K,>50K,-0.2904392768318729,-0.025618491597265283,0,1,1
32941,White,Male,70,Self-emp-inc,13,Exec-managerial,>50K,<=50K,-0.079192684829877,1.098142640000309,1,1,0
6395,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.17485402171250283,-0.18793973021343424,0,1,1
31800,White,Male,40,Self-emp-inc,10,Exec-managerial,>50K,<=50K,-0.39551915455690184,0.5657197802539415,1,1,0
13146,White,Male,30,Private,13,Sales,>50K,<=50K,-0.3275554441470117,-0.0008824359592235124,0,1,0
26169,White,Male,60,Private,9,Exec-managerial,>50K,>50K,-0.02452070290241997,0.1682999161729619,0,1,1
20940,White,Male,50,Private,9,Exec-managerial,>50K,>50K,-0.28138232708362665,0.053300002009521896,0,1,1
12033,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.4242547879347475,0.3760417357307835,1,1,1
45062,White,Male,40,Federal-gov,13,Prof-specialty,>50K,>50K,-0.591777189700275,0.890331779844205,1,1,1
31978,White,Male,50,Self-emp-not-inc,9,Other-service,>50K,>50K,-0.13530841387176729,-0.09664946011823013,0,1,1
603,White,Male,60,State-gov,13,Exec-managerial,>50K,<=50K,-0.2874722825347746,0.9473947801308776,1,1,0
4088,White,Male,30,Self-emp-inc,13,Exec-managerial,>50K,<=50K,-0.552138090704152,0.7107400288211034,1,1,0
48687,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,1,0
23181,White,Male,60,Self-emp-not-inc,10,Machine-op-inspct,>50K,>50K,0.07824672366750053,0.0831387354058599,0,1,1
42541,White,Male,50,Self-emp-not-inc,16,Prof-specialty,>50K,>50K,-0.6619125119087576,1.4510284565037448,1,1,1
8050,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,1,0
27072,White,Male,40,State-gov,14,Prof-specialty,>50K,>50K,-0.7028247154128207,1.4245767214920213,1,1,1
21370,White,Male,40,Local-gov,10,Protective-serv,>50K,>50K,-0.3662227760257087,0.5761490538321397,1,1,1
15020,White,Female,40,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.4629947816450232,0.7570707900963393,1,1,1
18007,Non-White,Male,40,Private,10,Exec-managerial,>50K,>50K,-0.2203184140835672,0.02432396443234272,0,1,1
44863,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,1,0
43220,White,Male,50,Private,10,Prof-specialty,>50K,<=50K,-0.3000203121223646,0.3796687309583975,1,1,0
47246,White,Male,60,Private,13,Exec-managerial,>50K,>50K,-0.16739316375354088,0.4910416498942235,1,1,1
43825,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
32449,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
2057,White,Male,40,State-gov,13,Exec-managerial,>50K,>50K,-0.5776330683234008,0.8579949425158145,1,1,1
31116,White,Male,30,Private,13,Tech-support,>50K,<=50K,-0.37609363302088933,0.06026850242638942,1,1,0
42572,White,Male,50,Private,16,Prof-specialty,>50K,>50K,-0.6014557645559893,1.1444111383875302,1,1,1
19291,White,Male,40,State-gov,13,Adm-clerical,>50K,>50K,-0.4480293645535579,0.5123925188779858,1,1,1
6095,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
2133,White,Male,50,Federal-gov,10,Adm-clerical,>50K,>50K,-0.19078687963969168,-0.017226249159798725,0,1,1
43674,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.4242547879347475,0.3760417357307835,1,1,1
19898,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
27016,White,Male,40,Local-gov,13,Sales,>50K,<=50K,-0.45356542671196004,0.5382203708304043,1,1,0
37376,Non-White,Male,50,Private,10,Prof-specialty,>50K,>50K,-0.2439457369116166,0.2687151499066717,1,1,1
31216,White,Male,60,Private,9,Exec-managerial,>50K,>50K,-0.02452070290241997,0.1682999161729619,0,1,1
3046,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,1,0
9784,White,Male,40,Private,13,Prof-specialty,>50K,<=50K,-0.5144804339776361,0.6716330743018664,1,1,0
38786,White,Male,40,Private,15,Prof-specialty,>50K,>50K,-0.5893415231284309,1.1524225635448107,1,1,1
46872,White,Male,40,Private,13,Adm-clerical,>50K,>50K,-0.3279502457723242,0.056039388641331594,1,1,1
36252,White,Male,50,Private,10,Exec-managerial,>50K,>50K,-0.24309382768689564,0.10967746893569151,1,1,1
15564,White,Male,30,Self-emp-inc,10,Sales,>50K,<=50K,-0.2655206491617465,0.16319553201555762,1,1,0
45293,White,Male,30,Private,14,Prof-specialty,>50K,<=50K,-0.5582035725309852,0.846879573027437,1,1,0
38423,White,Male,30,Self-emp-inc,14,Adm-clerical,>50K,>50K,-0.49079954958826,0.6617281221367753,1,1,1
48748,White,Male,40,Private,10,Exec-managerial,>50K,<=50K,-0.27639298929431516,0.13527754548406842,1,1,0
34258,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
37797,White,Male,40,Self-emp-not-inc,11,Farming-fishing,>50K,>50K,-0.35983562680185777,0.40522887674018776,1,1,1
29440,White,Male,30,Private,14,Adm-clerical,>50K,>50K,-0.3716733843256733,0.23128588736690223,1,1,1
27380,White,Male,50,Self-emp-inc,14,Prof-specialty,>50K,<=50K,-0.6685726002867541,1.3730657494768634,1,1,0
20104,White,Male,40,Private,13,Prof-specialty,>50K,<=50K,-0.5144804339776361,0.6716330743018664,1,1,0
17622,White,Male,60,Self-emp-inc,13,Exec-managerial,>50K,<=50K,-0.2865193290161276,0.9214838846640966,1,1,0
1923,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
23286,Non-White,Male,40,Private,10,Craft-repair,>50K,>50K,-0.1520786081091744,-0.273293234716783,0,1,1
26031,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.2518509651937134,0.013933527256138304,0,1,0
38659,White,Male,40,Private,12,Exec-managerial,>50K,>50K,-0.36133179573979435,0.23381027226296286,1,1,1
35529,Non-White,Female,40,Local-gov,14,Prof-specialty,>50K,>50K,-0.514453646725455,1.200015541812645,1,1,1
1109,White,Male,50,Self-emp-not-inc,13,Sales,>50K,>50K,-0.37925505399296217,0.40147882383654443,1,1,1
21372,White,Male,40,State-gov,14,Exec-managerial,>50K,>50K,-0.6458982309773517,1.1545854594693152,1,1,1
26858,White,Male,40,Private,10,Exec-managerial,>50K,<=50K,-0.27639298929431516,0.13527754548406842,1,1,0
44358,White,Female,30,Private,15,Tech-support,>50K,>50K,-0.3372693890119536,0.46604473471663943,1,1,1
36739,White,Male,40,Private,13,Tech-support,>50K,>50K,-0.4006356571214911,0.18161252065431954,1,1,1
9188,White,Male,40,Self-emp-inc,10,Sales,>50K,<=50K,-0.2900626732623482,0.28453955024348776,1,1,0
15132,White,Female,30,Private,14,Exec-managerial,>50K,>50K,-0.3875917549357857,0.5018750540520368,1,1,1
34831,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.4242547879347475,0.3760417357307835,1,1,1
8132,White,Male,40,Private,14,Sales,>50K,<=50K,-0.42036263090156434,0.41705209922220743,1,1,0
40233,White,Male,40,Local-gov,14,Prof-specialty,>50K,>50K,-0.6842135550959335,1.385982379817065,1,1,1
21425,White,Female,50,Self-emp-not-inc,10,Farming-fishing,>50K,>50K,-0.08813530163141987,0.20855927427045,1,1,1
30409,Non-White,Male,30,Private,13,Exec-managerial,>50K,>50K,-0.37693735023081737,0.16934421299950456,1,1,1
1649,White,Male,30,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.4092656298530311,0.3879982950998418,1,1,1
39276,Non-White,Male,30,Private,13,Exec-managerial,>50K,>50K,-0.37693735023081737,0.16934421299950456,1,1,1
25446,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
19426,White,Male,60,Self-emp-not-inc,16,Exec-managerial,>50K,>50K,-0.34812440329208194,1.2960371086444789,1,1,1
35953,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.4575539495421671,0.4016418122791604,1,1,1
2065,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.2518509651937134,0.013933527256138304,0,1,0
43748,White,Male,50,Private,9,Exec-managerial,>50K,>50K,-0.28138232708362665,0.053300002009521896,0,1,1
40400,Non-White,Male,30,Private,16,Prof-specialty,>50K,>50K,-0.5541383268520591,0.9377136156562512,1,1,1
18627,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
35689,White,Male,60,Private,14,Exec-managerial,>50K,>50K,-0.23565832640749174,0.7876321668477243,1,1,1
