,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster
14177,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.492519951,0.672632253,1
23014,White,Male,30,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.248866272,0.131451123,1
25791,Non-White,Female,30,Private,9,Other-service,<=50K,<=50K,0.086151104,-0.684977558,0
3017,White,Female,50,Unknown,10,Unknown,<=50K,>50K,2.032300451,0.791091927,2
5342,White,Male,30,Private,13,Craft-repair,<=50K,>50K,-0.364772119,-0.017319405,0
35602,Non-White,Male,40,Private,10,Craft-repair,>50K,>50K,-0.152078608,-0.273293235,0
28264,White,Female,30,Private,9,Craft-repair,<=50K,<=50K,-0.108214325,-0.415074396,0
21138,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
16892,Non-White,Male,30,Private,9,Transport-moving,<=50K,<=50K,-0.139248208,-0.476082447,0
13924,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
23729,Non-White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.015317877,-0.452669183,0
15700,Non-White,Female,70,Local-gov,12,Prof-specialty,<=50K,<=50K,0.1475211,1.001652078,1
20428,Non-White,Male,60,Unknown,4,Unknown,<=50K,<=50K,2.314991746,0.951713646,2
45982,White,Male,40,Self-emp-not-inc,11,Farming-fishing,>50K,>50K,-0.359835627,0.405228877,1
7057,White,Female,20,Private,13,Exec-managerial,<=50K,<=50K,-0.184874244,0.087536264,0
8028,White,Female,40,Private,13,Prof-specialty,<=50K,>50K,-0.400795101,0.596619817,1
27163,White,Male,30,Private,10,Machine-op-inspct,<=50K,>50K,-0.126915291,-0.434222439,0
35289,White,Female,40,Private,9,Other-service,<=50K,<=50K,0.005534505,-0.452679959,0
14936,White,Male,40,Self-emp-inc,9,Sales,>50K,>50K,-0.328351173,0.228162083,1
9368,White,Female,60,Private,9,Exec-managerial,<=50K,>50K,0.08916463,0.093286659,0
39438,White,Male,30,State-gov,16,Prof-specialty,>50K,<=50K,-0.730292021,1.505020327,1
38693,White,Female,40,Private,15,Prof-specialty,>50K,>50K,-0.47565619,1.077409307,1
10416,Non-White,Female,20,Private,10,Sales,<=50K,<=50K,0.157817773,-0.570961814,0
12773,White,Male,40,Private,13,Sales,>50K,>50K,-0.352097468,0.120461582,1
39475,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.433011925,0.280297794,1
18520,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.174854022,-0.18793973,0
37442,White,Female,40,Local-gov,14,Prof-specialty,<=50K,>50K,-0.570528222,1.310969123,1
37267,White,Female,40,Private,9,Exec-managerial,<=50K,>50K,-0.200996156,0.003886822,0
34362,White,Female,20,Private,13,Other-service,<=50K,<=50K,0.021656416,-0.369030517,0
21531,White,Male,20,Private,9,Craft-repair,<=50K,<=50K,-0.087447311,-0.457809412,0
24725,White,Female,20,Private,9,Tech-support,<=50K,<=50K,0.014916509,-0.455234762,0
11177,White,Female,30,Private,9,Adm-clerical,<=50K,<=50K,-0.046850428,-0.46305962,0
1937,White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.071392452,-0.341715602,0
1895,White,Male,40,Private,13,Sales,>50K,>50K,-0.352097468,0.120461582,1
15588,Non-White,Female,20,Unknown,9,Unknown,<=50K,<=50K,2.175781737,0.410268664,2
20335,White,Female,10,Private,9,Sales,<=50K,<=50K,0.380500195,-0.69811949,0
24773,White,Female,40,Private,13,Prof-specialty,<=50K,>50K,-0.400795101,0.596619817,1
5088,White,Male,40,Self-emp-inc,13,Prof-specialty,>50K,<=50K,-0.633606599,1.102075309,1
37904,White,Female,50,Local-gov,10,Exec-managerial,<=50K,>50K,-0.230876453,0.452423001,1
18566,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.246441683,-0.218717121,0
37586,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.30689843,0.087900198,1
13370,White,Female,40,Private,9,Other-service,<=50K,<=50K,0.005534505,-0.452679959,0
13740,White,Male,10,Private,10,Handlers-cleaners,<=50K,<=50K,0.356723132,-0.768792802,0
48264,White,Male,50,Private,4,Sales,<=50K,<=50K,-0.054196917,-0.089940632,0
22497,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.424254788,0.376041736,1
20791,White,Male,20,Unknown,12,Unknown,<=50K,<=50K,1.959371522,0.751145695,2
5926,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.133277759,-0.310625884,0
45339,White,Male,40,Private,9,Sales,<=50K,>50K,-0.209225007,-0.202280151,0
11580,White,Male,40,Private,14,Exec-managerial,>50K,>50K,-0.525819112,0.698232329,1
5083,White,Female,10,Private,7,Adm-clerical,<=50K,<=50K,0.629006461,-0.91373959,0
2290,White,Male,70,Self-emp-inc,13,Sales,>50K,<=50K,0.026263796,0.81696241,1
4260,White,Female,40,Self-emp-not-inc,7,Exec-managerial,>50K,>50K,-0.037093859,0.159306234,0
16319,White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.071392452,-0.341715602,0
30057,White,Male,40,Self-emp-not-inc,10,Exec-managerial,<=50K,>50K,-0.336849737,0.441894864,1
47077,White,Male,40,Private,13,Sales,>50K,>50K,-0.352097468,0.120461582,1
12250,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.133277759,-0.310625884,0
9420,White,Male,40,Private,9,Farming-fishing,<=50K,<=50K,-0.212951548,-0.053822177,0
19452,White,Female,50,Self-emp-not-inc,9,Other-service,<=50K,>50K,-0.021623081,-0.171662717,0
7511,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.251850965,0.013933527,0
37238,White,Female,30,Federal-gov,10,Tech-support,<=50K,<=50K,-0.158544095,-0.062410316,0
43558,Non-White,Female,40,Private,6,Other-service,<=50K,<=50K,0.242630513,-0.634887264,0
23872,White,Male,60,Self-emp-inc,9,Sales,<=50K,>50K,-0.038190387,0.317561921,1
33106,Non-White,Male,30,Private,7,Craft-repair,<=50K,>50K,0.05853396,-0.602212626,0
18946,White,Male,40,Private,2,Sales,<=50K,<=50K,-0.123040819,-0.280615471,0
37941,White,Male,30,Local-gov,14,Prof-specialty,>50K,<=50K,-0.659671531,1.264638362,1
12923,Non-White,Male,30,Private,10,Sales,<=50K,<=50K,-0.090319909,-0.378200284,0
18292,White,Male,30,Private,14,Prof-specialty,>50K,<=50K,-0.558203573,0.846879573,1
35461,White,Female,10,Private,6,Other-service,<=50K,<=50K,0.662595807,-0.944759764,0
26319,White,Female,30,Private,9,Handlers-cleaners,<=50K,<=50K,-0.01937788,-0.600701462,0
32670,White,Male,50,Private,6,Transport-moving,<=50K,>50K,-0.005544213,-0.340638648,0
11370,Non-White,Male,30,Private,12,Machine-op-inspct,<=50K,<=50K,-0.155779522,-0.446643293,0
21278,White,Male,60,Self-emp-not-inc,13,Sales,<=50K,>50K,-0.12239343,0.516478738,1
46980,White,Female,20,Private,13,Exec-managerial,<=50K,<=50K,-0.184874244,0.087536264,0
47994,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.251850965,0.013933527,0
6993,White,Female,10,Private,10,Other-service,<=50K,<=50K,0.519862874,-0.817128574,0
29330,White,Male,40,Self-emp-inc,9,Craft-repair,<=50K,>50K,-0.365567848,0.211725114,1
27231,White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,-0.030751442,-0.608348179,0
40743,White,Male,40,Private,10,Transport-moving,<=50K,>50K,-0.181576308,-0.187407381,0
44062,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713284,-0.178828003,0
7733,White,Male,60,Unknown,9,Unknown,<=50K,>50K,2.137188242,0.924727631,2
30534,White,Male,50,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.543380953,0.806483971,1
36631,White,Male,40,Private,10,Exec-managerial,>50K,<=50K,-0.276392989,0.135277545,1
8968,White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.039677634,-0.587059012,0
28833,White,Female,20,Private,7,Other-service,<=50K,<=50K,0.388887921,-0.842970156,0
24851,White,Male,20,Private,9,Adm-clerical,<=50K,<=50K,-0.026083413,-0.505794637,0
41102,White,Male,40,Private,9,Sales,<=50K,>50K,-0.209225007,-0.202280151,0
14351,White,Female,70,Private,6,Priv-house-serv,<=50K,<=50K,0.785270142,-0.342874626,0
17363,White,Male,20,Private,13,Exec-managerial,<=50K,>50K,-0.298559577,0.162549521,1
38748,White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.219864808,-0.243784847,0
10189,White,Female,60,Private,9,Exec-managerial,<=50K,>50K,0.08916463,0.093286659,0
38113,White,Male,20,Private,3,Machine-op-inspct,<=50K,<=50K,0.033057867,-0.630517348,0
33849,White,Male,50,Private,9,Machine-op-inspct,<=50K,>50K,-0.156446653,-0.394855964,0
12081,White,Male,20,Private,13,Sales,<=50K,>50K,-0.193103096,-0.118630709,0
44013,White,Male,10,Private,7,Sales,<=50K,<=50K,0.491173906,-0.774304139,0
47296,White,Male,50,Local-gov,12,Protective-serv,>50K,>50K,-0.417862421,0.649081704,1
10747,White,Female,50,Private,9,Adm-clerical,<=50K,<=50K,-0.03809329,-0.367315679,0
29465,White,Male,60,Unknown,9,Unknown,<=50K,>50K,2.137188242,0.924727631,2
26699,Non-White,Female,30,Private,9,Adm-clerical,<=50K,<=50K,0.009224148,-0.574013201,0
8729,White,Female,20,Private,13,Prof-specialty,<=50K,<=50K,-0.241800729,0.357527526,1
36524,White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.039677634,-0.587059012,0
13640,White,Male,30,State-gov,11,Protective-serv,<=50K,<=50K,-0.485007743,0.589455646,1
29113,White,Male,20,Private,9,Farming-fishing,<=50K,<=50K,-0.053957176,-0.292914469,0
44140,White,Male,40,State-gov,10,Transport-moving,<=50K,<=50K,-0.301655427,0.26894575,1
8526,White,Female,20,Private,9,Adm-clerical,<=50K,<=50K,0.08760192,-0.580807894,0
3871,White,Male,40,Self-emp-not-inc,10,Exec-managerial,<=50K,>50K,-0.336849737,0.441894864,1
11255,White,Male,30,Private,10,Sales,<=50K,<=50K,-0.146394484,-0.267246703,0
26711,White,Female,20,Private,13,Sales,<=50K,<=50K,-0.079417763,-0.193643966,0
45491,Non-White,Male,50,Self-emp-not-inc,9,Sales,<=50K,<=50K,-0.180308018,-0.032216491,0
24281,White,Female,10,Private,10,Adm-clerical,<=50K,<=50K,0.442935917,-0.706164217,0
12030,White,Male,30,Private,10,Prof-specialty,<=50K,<=50K,-0.30877745,0.283924789,1
37366,Non-White,Female,20,Unknown,11,Unknown,<=50K,>50K,2.089354406,0.562702399,2
22516,White,Male,20,Private,10,Craft-repair,<=50K,<=50K,-0.049158811,-0.401431945,0
22299,White,Female,30,Private,13,Prof-specialty,<=50K,>50K,-0.376253077,0.475275799,1
46395,White,Male,30,State-gov,9,Other-service,<=50K,<=50K,-0.203687923,-0.04265759,0
20432,Non-White,Male,20,Private,10,Sales,<=50K,<=50K,0.044132439,-0.495948557,0
3903,White,Male,40,Self-emp-not-inc,13,Sales,>50K,>50K,-0.412554216,0.4270789,1
35440,White,Female,30,Private,13,Sales,<=50K,>50K,-0.213870111,-0.075895693,0
35099,White,Male,20,Local-gov,13,Prof-specialty,<=50K,<=50K,-0.45695402,0.850299571,1
8834,White,Female,20,Private,10,Prof-specialty,<=50K,<=50K,-0.060639768,0.091163259,0
14335,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713284,-0.178828003,0
6910,White,Female,30,Private,9,Other-service,<=50K,<=50K,0.030076529,-0.574023977,0
6571,White,Male,40,Private,9,Machine-op-inspct,<=50K,>50K,-0.189745814,-0.369255887,0
43593,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.183611159,-0.283683672,0
11161,White,Male,50,Private,4,Farming-fishing,<=50K,<=50K,-0.057923458,0.058517342,0
36412,White,Male,40,Private,4,Craft-repair,<=50K,<=50K,-0.124712754,-0.080777525,0
15796,White,Female,20,Private,7,Other-service,<=50K,<=50K,0.388887921,-0.842970156,0
8134,White,Male,20,Private,10,Adm-clerical,<=50K,<=50K,0.012205087,-0.44941717,0
16299,White,Male,40,Private,7,Transport-moving,<=50K,<=50K,0.004494236,-0.394982753,0
12372,White,Male,10,Private,9,Machine-op-inspct,<=50K,<=50K,0.286294055,-0.790081969,0
26490,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713284,-0.178828003,0
43051,White,Female,40,Private,15,Prof-specialty,>50K,>50K,-0.47565619,1.077409307,1
10762,White,Female,50,Local-gov,13,Adm-clerical,<=50K,<=50K,-0.282433709,0.373184844,1
22953,White,Male,20,Private,6,Craft-repair,<=50K,<=50K,0.093574122,-0.529063136,0
11748,White,Male,20,Private,12,Tech-support,<=50K,>50K,-0.145419131,-0.225311311,0
24901,White,Male,60,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.016737644,0.177300035,1
14801,White,Male,40,State-gov,9,Protective-serv,<=50K,>50K,-0.423122436,0.558365929,1
24545,Non-White,Male,20,Private,9,Craft-repair,<=50K,<=50K,-0.031372735,-0.568762993,0
22935,White,Male,30,Local-gov,9,Protective-serv,<=50K,>50K,-0.379969251,0.398427569,1
9535,White,Male,20,Private,11,Handlers-cleaners,<=50K,<=50K,-0.085038196,-0.491002743,0
22354,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.195322784,-0.365128866,0
37227,White,Male,60,State-gov,10,Protective-serv,<=50K,<=50K,-0.094673151,0.704143233,1
10735,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.246441683,-0.218717121,0
44871,White,Male,40,Private,9,Other-service,<=50K,<=50K,-0.108150828,-0.377666702,0
44570,White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.219864808,-0.243784847,0
28493,White,Male,50,Private,9,Adm-clerical,<=50K,>50K,-0.151778623,-0.292302422,0
3030,White,Male,20,Private,10,Transport-moving,<=50K,<=50K,-0.022581936,-0.426499672,0
10107,White,Male,30,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.248866272,0.131451123,1
27872,White,Female,50,Private,9,Sales,<=50K,<=50K,-0.062240513,-0.302893485,0
47884,White,Male,20,Private,13,Tech-support,<=50K,<=50K,-0.241641285,-0.057479771,0
1135,White,Male,30,Self-emp-not-inc,10,Craft-repair,<=50K,>50K,-0.244067907,0.022933646,0
40919,White,Female,20,State-gov,14,Prof-specialty,<=50K,<=50K,-0.43014501,1.110471173,1
47757,White,Male,20,Private,9,Handlers-cleaners,<=50K,<=50K,0.001389135,-0.643436479,0
5006,White,Male,50,Private,15,Exec-managerial,>50K,>50K,-0.499115877,0.856831225,1
27609,White,Male,20,Private,13,Tech-support,<=50K,<=50K,-0.241641285,-0.057479771,0
47431,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.183611159,-0.283683672,0
41177,White,Female,10,Private,10,Sales,<=50K,<=50K,0.418788695,-0.641742023,0
40272,White,Female,40,Private,11,Prof-specialty,<=50K,>50K,-0.344349971,0.42631182,1
10375,White,Female,30,Private,14,Adm-clerical,<=50K,<=50K,-0.257988051,0.15627263,1
11424,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.174854022,-0.18793973,0
32081,White,Female,20,Private,12,Adm-clerical,<=50K,<=50K,0.040951613,-0.4258977,0
23232,White,Male,30,Private,9,Sales,<=50K,>50K,-0.184682983,-0.32362417,0
39672,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
5266,White,Male,40,Private,10,Exec-managerial,>50K,<=50K,-0.276392989,0.135277545,1
24993,White,Male,50,Self-emp-inc,6,Sales,<=50K,<=50K,-0.114030578,0.131308283,0
16782,White,Male,10,Private,10,Protective-serv,<=50K,<=50K,0.211285052,-0.262435817,0
44269,White,Male,10,Self-emp-not-inc,9,Craft-repair,<=50K,<=50K,0.169141439,-0.332925884,0
2806,White,Male,30,Private,9,Handlers-cleaners,<=50K,<=50K,-0.133063213,-0.525688205,0
39160,White,Male,50,Private,9,Craft-repair,<=50K,>50K,-0.213142521,-0.244317197,0
9408,White,Male,40,Private,9,Machine-op-inspct,<=50K,>50K,-0.189745814,-0.369255887,0
27513,White,Male,30,Private,9,Sales,<=50K,>50K,-0.184682983,-0.32362417,0
45625,White,Male,50,Private,9,Other-service,<=50K,<=50K,-0.074851667,-0.403266778,0
41551,White,Male,10,Private,8,Prof-specialty,<=50K,<=50K,0.287349114,-0.226410911,0
19300,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.30689843,0.087900198,1
852,White,Male,20,Private,9,Handlers-cleaners,<=50K,<=50K,0.001389135,-0.643436479,0
39515,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713284,-0.178828003,0
30435,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.433807654,0.509342313,1
33878,White,Male,30,Private,10,Prof-specialty,<=50K,<=50K,-0.30877745,0.283924789,1
3931,White,Female,40,State-gov,9,Adm-clerical,<=50K,>50K,-0.191471571,0.114637528,1
23841,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.424254788,0.376041736,1
28912,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
16819,White,Male,20,Private,9,Transport-moving,<=50K,<=50K,-0.060870436,-0.482877139,0
23248,White,Male,20,Self-emp-not-inc,4,Farming-fishing,<=50K,<=50K,0.007315005,0.151642445,0
43975,White,Male,30,Private,9,Prof-specialty,<=50K,>50K,-0.347065949,0.227547322,1
20835,White,Male,20,Private,11,Sales,<=50K,<=50K,-0.136657966,-0.288938707,0
25332,White,Male,30,Private,15,Prof-specialty,>50K,>50K,-0.564799499,1.031078545,1
7200,White,Female,40,Private,9,Sales,<=50K,<=50K,-0.095539674,-0.277293408,0
19117,Non-White,Male,30,State-gov,13,Adm-clerical,<=50K,>50K,-0.367412765,0.28009492,1
2256,White,Female,30,Local-gov,9,Other-service,<=50K,<=50K,-0.071391429,-0.156265188,0
21209,White,Female,30,Private,10,Adm-clerical,<=50K,<=50K,-0.008561928,-0.406682153,0
1238,White,Male,40,Private,13,Sales,>50K,>50K,-0.352097468,0.120461582,1
30825,White,Male,30,Private,12,Sales,<=50K,<=50K,-0.23133329,-0.168713976,0
25572,White,Male,20,Private,9,Other-service,<=50K,<=50K,0.050843544,-0.616758993,0
47426,White,Male,30,Private,9,Other-service,<=50K,<=50K,-0.083608804,-0.49901072,0
29292,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
9652,White,Male,20,Private,13,Prof-specialty,<=50K,>50K,-0.355486062,0.432540783,1
15315,White,Male,70,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,0.224079134,0.518853734,1
37549,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.133277759,-0.310625884,0
8690,White,Male,30,Local-gov,9,Transport-moving,<=50K,>50K,-0.296790742,0.052629923,0
33134,White,Female,50,Private,9,Adm-clerical,<=50K,<=50K,-0.03809329,-0.367315679,0
13485,Non-White,Female,50,Private,10,Other-service,<=50K,<=50K,0.133196741,-0.532856149,0
25343,White,Male,30,Private,9,Sales,<=50K,>50K,-0.184682983,-0.32362417,0
13618,White,Male,20,Self-emp-inc,9,Machine-op-inspct,<=50K,<=50K,-0.149877607,-0.177905944,0
12382,White,Male,30,Private,14,Prof-specialty,>50K,<=50K,-0.558203573,0.846879573,1
7779,White,Male,40,Local-gov,12,Protective-serv,>50K,>50K,-0.451161582,0.674681781,1
29471,White,Male,70,Self-emp-inc,13,Exec-managerial,>50K,<=50K,-0.079192685,1.09814264,1
8079,White,Female,30,State-gov,13,Prof-specialty,<=50K,>50K,-0.496332195,0.931628929,1
38632,White,Male,20,Unknown,10,Unknown,<=50K,<=50K,2.044310328,0.652612969,2
3575,Non-White,Female,40,Private,8,Adm-clerical,<=50K,<=50K,0.167599341,-0.607145353,0
36456,White,Female,30,Self-emp-not-inc,12,Prof-specialty,>50K,>50K,-0.34048767,0.614061577,1
40765,White,Male,50,Private,4,Craft-repair,<=50K,<=50K,-0.091413593,-0.106377601,0
26787,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
30530,White,Female,20,Private,10,Other-service,<=50K,<=50K,0.202817377,-0.635394783,0
17700,Non-White,Male,50,Federal-gov,9,Adm-clerical,<=50K,<=50K,-0.173000804,-0.184557297,0
23971,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.492519951,0.672632253,1
16682,White,Male,20,Private,9,Adm-clerical,<=50K,<=50K,-0.026083413,-0.505794637,0
11502,White,Male,30,Private,9,Prof-specialty,<=50K,>50K,-0.347065949,0.227547322,1
37657,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.183611159,-0.283683672,0
1537,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.492519951,0.672632253,1
42750,White,Female,30,Private,12,Adm-clerical,<=50K,>50K,-0.093500735,-0.308149427,0
23573,White,Male,30,Private,13,Tech-support,>50K,<=50K,-0.376093633,0.060268502,1
2859,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.246441683,-0.218717121,0
10847,White,Male,20,Local-gov,9,Protective-serv,<=50K,<=50K,-0.245516903,0.280679295,1
3012,White,Male,50,State-gov,9,Other-service,<=50K,>50K,-0.194930785,0.053086352,0
15734,White,Female,30,Private,10,Exec-managerial,<=50K,>50K,-0.138165632,-0.06107973,0
22918,White,Male,50,State-gov,14,Adm-clerical,>50K,>50K,-0.482995366,0.783382959,1
34093,Non-White,Female,20,Private,13,Adm-clerical,<=50K,<=50K,0.000804035,-0.369019741,0
36662,Non-White,Female,40,Federal-gov,9,Adm-clerical,<=50K,>50K,-0.092614632,-0.233970478,0
3895,White,Male,50,Private,10,Transport-moving,<=50K,>50K,-0.148277147,-0.213007457,0
47858,White,Male,20,Private,10,Sales,<=50K,<=50K,-0.011942136,-0.384994976,0
46506,White,Male,40,State-gov,14,Prof-specialty,>50K,>50K,-0.702824715,1.424576721,1
48688,White,Male,80,Private,13,Exec-managerial,<=50K,<=50K,-0.263296682,0.307894094,1
26863,White,Female,20,Private,10,Adm-clerical,<=50K,<=50K,0.12589042,-0.524430427,0
15807,White,Female,20,Private,9,Handlers-cleaners,<=50K,<=50K,0.115074468,-0.718449736,0
31259,White,Male,50,State-gov,13,Exec-managerial,>50K,<=50K,-0.544333907,0.832394866,1
6310,White,Male,50,Self-emp-not-inc,13,Exec-managerial,<=50K,>50K,-0.484711535,0.682659054,1
4960,Non-White,Female,30,Private,6,Other-service,<=50K,<=50K,0.267172537,-0.756231282,0
29605,White,Male,50,Private,13,Prof-specialty,>50K,>50K,-0.481181272,0.646032998,1
44489,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.433807654,0.509342313,1
641,Non-White,Female,30,Unknown,7,Unknown,<=50K,<=50K,2.265688433,0.376819031,2
32446,Non-White,Female,30,Federal-gov,9,Exec-managerial,<=50K,<=50K,-0.197676312,-0.009712072,0
11000,White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,-0.030751442,-0.608348179,0
3019,White,Male,30,Local-gov,9,Other-service,<=50K,<=50K,-0.185076762,-0.081251931,0
5773,White,Male,60,Private,6,Machine-op-inspct,<=50K,>50K,0.281436404,-0.351109774,0
45930,White,Male,40,Private,14,Tech-support,>50K,>50K,-0.46890082,0.478203038,1
18308,White,Male,30,Private,11,Craft-repair,<=50K,>50K,-0.30832699,-0.187627403,0
25919,White,Male,20,Private,13,Adm-clerical,<=50K,<=50K,-0.168955874,-0.183052903,0
17926,White,Male,10,Private,10,Handlers-cleaners,<=50K,<=50K,0.356723132,-0.768792802,0
29611,White,Male,50,Private,9,Transport-moving,<=50K,>50K,-0.186565646,-0.269384924,0
