,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster,income_before_onehot,income_after_onehot
12250,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.1332777586674277,-0.3106258843657181,0,0,0
9420,White,Male,40,Private,9,Farming-fishing,<=50K,<=50K,-0.21295154844253272,-0.05382217727086319,0,0,0
19452,White,Female,50,Self-emp-not-inc,9,Other-service,<=50K,>50K,-0.021623080712036735,-0.17166271707092434,0,0,1
37238,White,Female,30,Federal-gov,10,Tech-support,<=50K,<=50K,-0.15854409533594585,-0.06241031577905817,0,0,0
43558,Non-White,Female,40,Private,6,Other-service,<=50K,<=50K,0.24263051298669605,-0.6348872636654762,0,0,0
23872,White,Male,60,Self-emp-inc,9,Sales,<=50K,>50K,-0.03819038687045304,0.31756192093238117,1,0,1
33106,Non-White,Male,30,Private,7,Craft-repair,<=50K,>50K,0.058533960213428514,-0.6022126258991375,0,0,1
18946,White,Male,40,Private,2,Sales,<=50K,<=50K,-0.12304081873119871,-0.2806154709975478,0,0,0
12923,Non-White,Male,30,Private,10,Sales,<=50K,<=50K,-0.09031990868841185,-0.3782002838060412,0,0,0
35461,White,Female,10,Private,6,Other-service,<=50K,<=50K,0.6625958071221563,-0.9447597644888007,0,0,0
26319,White,Female,30,Private,9,Handlers-cleaners,<=50K,<=50K,-0.019377879887907703,-0.6007014624045062,0,0,0
32670,White,Male,50,Private,6,Transport-moving,<=50K,>50K,-0.005544213430318418,-0.34063864795856386,0,0,1
11370,Non-White,Male,30,Private,12,Machine-op-inspct,<=50K,<=50K,-0.1557795219024868,-0.44664329282617937,0,0,0
21278,White,Male,60,Self-emp-not-inc,13,Sales,<=50K,>50K,-0.12239342981175556,0.5164787379999844,1,0,1
46980,White,Female,20,Private,13,Exec-managerial,<=50K,<=50K,-0.1848742442265154,0.08753626360497148,0,0,0
6993,White,Female,10,Private,10,Other-service,<=50K,<=50K,0.5198628737762513,-0.8171285735876427,0,0,0
29330,White,Male,40,Self-emp-inc,9,Craft-repair,<=50K,>50K,-0.3655678479792401,0.21172511417864615,1,0,1
27231,White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,-0.030751442009167285,-0.6083481789730824,0,0,0
40743,White,Male,40,Private,10,Transport-moving,<=50K,>50K,-0.181576308383643,-0.18740738050902897,0,0,1
44062,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713283978663487,-0.1788280031901205,0,0,0
7733,White,Male,60,Unknown,9,Unknown,<=50K,>50K,2.137188242413782,0.9247276309114513,2,0,1
8968,White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.03967763440441211,-0.587059012019207,0,0,0
28833,White,Female,20,Private,7,Other-service,<=50K,<=50K,0.38888792080796536,-0.8429701563885116,0,0,0
24851,White,Male,20,Private,9,Adm-clerical,<=50K,<=50K,-0.026083412765282137,-0.5057946368014248,0,0,0
41102,White,Male,40,Private,9,Sales,<=50K,>50K,-0.20922500739649258,-0.20228015145255498,0,0,1
14351,White,Female,70,Private,6,Priv-house-serv,<=50K,<=50K,0.7852701420031816,-0.3428746259848711,0,0,0
17363,White,Male,20,Private,13,Exec-managerial,<=50K,>50K,-0.298559577386246,0.16254952055766564,1,0,1
38748,White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.219864807780374,-0.2437848474351986,0,0,1
10189,White,Female,60,Private,9,Exec-managerial,<=50K,>50K,0.0891646302573106,0.09328665922026769,0,0,1
38113,White,Male,20,Private,3,Machine-op-inspct,<=50K,<=50K,0.03305786683671947,-0.6305173477926654,0,0,0
33849,White,Male,50,Private,9,Machine-op-inspct,<=50K,>50K,-0.15644665255766885,-0.39485596379996446,0,0,1
12081,White,Male,20,Private,13,Sales,<=50K,>50K,-0.19310309609169238,-0.11863070945278816,0,0,1
44013,White,Male,10,Private,7,Sales,<=50K,<=50K,0.49117390556844787,-0.7743041393558598,0,0,0
10747,White,Female,50,Private,9,Adm-clerical,<=50K,<=50K,-0.038093290154053126,-0.3673156785810011,0,0,0
29465,White,Male,60,Unknown,9,Unknown,<=50K,>50K,2.137188242413782,0.9247276309114513,2,0,1
26699,Non-White,Female,30,Private,9,Adm-clerical,<=50K,<=50K,0.009224147549877031,-0.5740132013122801,0,0,0
8729,White,Female,20,Private,13,Prof-specialty,<=50K,<=50K,-0.24180072866198438,0.3575275256276774,1,0,0
36524,White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.03967763440441211,-0.587059012019207,0,0,0
13640,White,Male,30,State-gov,11,Protective-serv,<=50K,<=50K,-0.48500774264528185,0.5894556462478325,1,0,0
29113,White,Male,20,Private,9,Farming-fishing,<=50K,<=50K,-0.05395717628661159,-0.29291446899235796,0,0,0
44140,White,Male,40,State-gov,10,Transport-moving,<=50K,<=50K,-0.3016554271648767,0.2689457497276252,1,0,0
8526,White,Female,20,Private,9,Adm-clerical,<=50K,<=50K,0.08760192039444845,-0.5808078937541189,0,0,0
3871,White,Male,40,Self-emp-not-inc,10,Exec-managerial,<=50K,>50K,-0.33684973664708345,0.4418948636002832,1,0,1
11255,White,Male,30,Private,10,Sales,<=50K,<=50K,-0.14639448389915982,-0.2672467027543155,0,0,0
26711,White,Female,20,Private,13,Sales,<=50K,<=50K,-0.07941776293196179,-0.19364396640548232,0,0,0
45491,Non-White,Male,50,Self-emp-not-inc,9,Sales,<=50K,<=50K,-0.18030801793109336,-0.0322164909364429,0,0,0
24281,White,Female,10,Private,10,Adm-clerical,<=50K,<=50K,0.44293591698146656,-0.7061642169815047,0,0,0
12030,White,Male,30,Private,10,Prof-specialty,<=50K,<=50K,-0.3087774496291824,0.2839247892788443,1,0,0
37366,Non-White,Female,20,Unknown,11,Unknown,<=50K,>50K,2.0893544061449987,0.5627023994653096,2,0,1
22516,White,Male,20,Private,10,Craft-repair,<=50K,<=50K,-0.04915881116400128,-0.4014319453865521,0,0,0
22299,White,Female,30,Private,13,Prof-specialty,<=50K,>50K,-0.37625307671730374,0.47527579912124207,1,0,1
46395,White,Male,30,State-gov,9,Other-service,<=50K,<=50K,-0.2036879228070505,-0.04265758967734391,0,0,0
20432,Non-White,Male,20,Private,10,Sales,<=50K,<=50K,0.044132439366907535,-0.4959485572996058,0,0,0
35440,White,Female,30,Private,13,Sales,<=50K,>50K,-0.21387011098728118,-0.07589569291191771,0,0,1
35099,White,Male,20,Local-gov,13,Prof-specialty,<=50K,<=50K,-0.45695402028606147,0.8502995711420693,1,0,0
8834,White,Female,20,Private,10,Prof-specialty,<=50K,<=50K,-0.06063976841413245,0.09116325883258548,0,0,0
14335,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713283978663487,-0.1788280031901205,0,0,0
6910,White,Female,30,Private,9,Other-service,<=50K,<=50K,0.030076529133913756,-0.5740239768666923,0,0,0
6571,White,Male,40,Private,9,Machine-op-inspct,<=50K,>50K,-0.1897458141650884,-0.36925588725158753,0,0,1
43593,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,0,1
11161,White,Male,50,Private,4,Farming-fishing,<=50K,<=50K,-0.05792345840609929,0.05851734202520493,0,0,0
36412,White,Male,40,Private,4,Craft-repair,<=50K,<=50K,-0.12471275428763955,-0.08077752474678189,0,0,0
15796,White,Female,20,Private,7,Other-service,<=50K,<=50K,0.38888792080796536,-0.8429701563885116,0,0,0
8134,White,Male,20,Private,10,Adm-clerical,<=50K,<=50K,0.012205086631448873,-0.4494171698752551,0,0,0
16299,White,Male,40,Private,7,Transport-moving,<=50K,<=50K,0.0044942358383581954,-0.39498275346345324,0,0,0
12372,White,Male,10,Private,9,Machine-op-inspct,<=50K,<=50K,0.2862940551811198,-0.7900819691266376,0,0,0
26490,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713283978663487,-0.1788280031901205,0,0,0
10762,White,Female,50,Local-gov,13,Adm-clerical,<=50K,<=50K,-0.2824337094695206,0.37318484370195826,1,0,0
22953,White,Male,20,Private,6,Craft-repair,<=50K,<=50K,0.09357412218190374,-0.5290631362877101,0,0,0
11748,White,Male,20,Private,12,Tech-support,<=50K,>50K,-0.1454191311631972,-0.22531131108337277,0,0,1
24901,White,Male,60,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.016737644280795484,0.17730003514005088,1,0,1
14801,White,Male,40,State-gov,9,Protective-serv,<=50K,>50K,-0.4231224357393268,0.5583659285809265,1,0,1
24545,Non-White,Male,20,Private,9,Craft-repair,<=50K,<=50K,-0.03137273534998431,-0.5687629933644474,0,0,0
22935,White,Male,30,Local-gov,9,Protective-serv,<=50K,>50K,-0.37996925132183795,0.3984275686780399,1,0,1
9535,White,Male,20,Private,11,Handlers-cleaners,<=50K,<=50K,-0.08503819599887566,-0.4910027430505404,0,0,0
22354,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.19532278367977227,-0.3651288656631287,0,0,1
37227,White,Male,60,State-gov,10,Protective-serv,<=50K,<=50K,-0.0946731505539696,0.7041432331221591,1,0,0
10735,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,0,1
44871,White,Male,40,Private,9,Other-service,<=50K,<=50K,-0.10815082812641856,-0.3776667016860679,0,0,0
44570,White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.219864807780374,-0.2437848474351986,0,0,1
28493,White,Male,50,Private,9,Adm-clerical,<=50K,>50K,-0.1517786233137837,-0.2923024216283069,0,0,1
3030,White,Male,20,Private,10,Transport-moving,<=50K,<=50K,-0.022581936227721876,-0.4264996722305237,0,0,0
10107,White,Male,30,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.24886627169469927,0.13145112261742142,1,0,0
27872,White,Female,50,Private,9,Sales,<=50K,<=50K,-0.06224051262934245,-0.3028934849536261,0,0,0
47884,White,Male,20,Private,13,Tech-support,<=50K,<=50K,-0.24164128496556997,-0.05747977106717522,0,0,0
1135,White,Male,30,Self-emp-not-inc,10,Craft-repair,<=50K,>50K,-0.24406790657208893,0.022933646223227275,0,0,1
40919,White,Female,20,State-gov,14,Prof-specialty,<=50K,<=50K,-0.430145010097169,1.1104711728178325,1,0,0
47757,White,Male,20,Private,9,Handlers-cleaners,<=50K,<=50K,0.0013891350076811015,-0.6434364789453766,0,0,0
27609,White,Male,20,Private,13,Tech-support,<=50K,<=50K,-0.24164128496556997,-0.05747977106717522,0,0,0
47431,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,0,1
41177,White,Female,10,Private,10,Sales,<=50K,<=50K,0.4187886945061773,-0.6417420233541297,0,0,0
40272,White,Female,40,Private,11,Prof-specialty,<=50K,>50K,-0.3443499709733413,0.42631181952274677,1,0,1
10375,White,Female,30,Private,14,Adm-clerical,<=50K,<=50K,-0.25798805116594276,0.15627263041420805,1,0,0
32081,White,Female,20,Private,12,Adm-clerical,<=50K,<=50K,0.040951613345700306,-0.42589770004905486,0,0,0
23232,White,Male,30,Private,9,Sales,<=50K,>50K,-0.18468298329589083,-0.3236241696804851,0,0,1
39672,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,0,1
24993,White,Male,50,Self-emp-inc,6,Sales,<=50K,<=50K,-0.1140305783090237,0.1313082827939528,0,0,0
16782,White,Male,10,Private,10,Protective-serv,<=50K,<=50K,0.2112850517848461,-0.2624358166046082,0,0,0
44269,White,Male,10,Self-emp-not-inc,9,Craft-repair,<=50K,<=50K,0.16914143927678651,-0.3329258843500624,0,0,0
2806,White,Male,30,Private,9,Handlers-cleaners,<=50K,<=50K,-0.13306321304763827,-0.5256882054518119,0,0,0
39160,White,Male,50,Private,9,Craft-repair,<=50K,>50K,-0.21314252110923385,-0.24431719713960387,0,0,1
9408,White,Male,40,Private,9,Machine-op-inspct,<=50K,>50K,-0.1897458141650884,-0.36925588725158753,0,0,1
27513,White,Male,30,Private,9,Sales,<=50K,>50K,-0.18468298329589083,-0.3236241696804851,0,0,1
45625,White,Male,50,Private,9,Other-service,<=50K,<=50K,-0.07485166651899901,-0.40326677823444484,0,0,0
41551,White,Male,10,Private,8,Prof-specialty,<=50K,<=50K,0.28734911409049657,-0.22641091090481247,0,0,0
19300,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.3068984300694217,0.08790019752498779,1,0,1
852,White,Male,20,Private,9,Handlers-cleaners,<=50K,<=50K,0.0013891350076811015,-0.6434364789453766,0,0,0
39515,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713283978663487,-0.1788280031901205,0,0,0
33878,White,Male,30,Private,10,Prof-specialty,<=50K,<=50K,-0.3087774496291824,0.2839247892788443,1,0,0
3931,White,Female,40,State-gov,9,Adm-clerical,<=50K,>50K,-0.1914715705427064,0.11463752820402992,1,0,1
28912,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,0,1
16819,White,Male,20,Private,9,Transport-moving,<=50K,<=50K,-0.060870435624452886,-0.48287713915669334,0,0,0
23248,White,Male,20,Self-emp-not-inc,4,Farming-fishing,<=50K,<=50K,0.007315004789633968,0.15164244496830181,0,0,0
43975,White,Male,30,Private,9,Prof-specialty,<=50K,>50K,-0.3470659490259134,0.22754732235267466,1,0,1
20835,White,Male,20,Private,11,Sales,<=50K,<=50K,-0.13665796624712823,-0.28893870727921356,0,0,0
7200,White,Female,40,Private,9,Sales,<=50K,<=50K,-0.09553967423676198,-0.2772934084052492,0,0,0
19117,Non-White,Male,30,State-gov,13,Adm-clerical,<=50K,>50K,-0.3674127652422082,0.2800949195983299,1,0,1
2256,White,Female,30,Local-gov,9,Other-service,<=50K,<=50K,-0.07139142933043284,-0.15626518830499458,0,0,0
21209,White,Female,30,Private,10,Adm-clerical,<=50K,<=50K,-0.008561928264139934,-0.4066821533343847,0,0,0
30825,White,Male,30,Private,12,Sales,<=50K,<=50K,-0.23133329034463898,-0.16871397597542107,0,0,0
25572,White,Male,20,Private,9,Other-service,<=50K,<=50K,0.050843544029502565,-0.6167589934075627,0,0,0
47426,White,Male,30,Private,9,Other-service,<=50K,<=50K,-0.08360880402581682,-0.49901071991399804,0,0,0
29292,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,0,1
9652,White,Male,20,Private,13,Prof-specialty,<=50K,>50K,-0.35548606182171494,0.4325407825803716,1,0,1
15315,White,Male,70,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,0.22407913417957578,0.518853733796627,1,0,0
37549,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.1332777586674277,-0.3106258843657181,0,0,0
8690,White,Male,30,Local-gov,9,Transport-moving,<=50K,>50K,-0.2967907421441188,0.05262992289856897,0,0,1
33134,White,Female,50,Private,9,Adm-clerical,<=50K,<=50K,-0.038093290154053126,-0.3673156785810011,0,0,0
13485,Non-White,Female,50,Private,10,Other-service,<=50K,<=50K,0.13319674124821057,-0.5328561493126952,0,0,0
25343,White,Male,30,Private,9,Sales,<=50K,>50K,-0.18468298329589083,-0.3236241696804851,0,0,1
13618,White,Male,20,Self-emp-inc,9,Machine-op-inspct,<=50K,<=50K,-0.14987760727175398,-0.17790594420320924,0,0,0
8079,White,Female,30,State-gov,13,Prof-specialty,<=50K,>50K,-0.49633219549853747,0.9316289293578962,1,0,1
38632,White,Male,20,Unknown,10,Unknown,<=50K,<=50K,2.044310328177808,0.652612968501063,2,0,0
3575,Non-White,Female,40,Private,8,Adm-clerical,<=50K,<=50K,0.16759934132007884,-0.607145352694717,0,0,0
40765,White,Male,50,Private,4,Craft-repair,<=50K,<=50K,-0.09141359268021998,-0.10637760129515882,0,0,0
26787,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,0,1
30530,White,Female,20,Private,10,Other-service,<=50K,<=50K,0.20281737658596416,-0.6353947834340873,0,0,0
17700,Non-White,Male,50,Federal-gov,9,Adm-clerical,<=50K,<=50K,-0.17300080382567473,-0.18455729713769403,0,0,0
16682,White,Male,20,Private,9,Adm-clerical,<=50K,<=50K,-0.026083412765282137,-0.5057946368014248,0,0,0
11502,White,Male,30,Private,9,Prof-specialty,<=50K,>50K,-0.3470659490259134,0.22754732235267466,1,0,1
37657,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.18361115921932064,-0.28368367189298743,0,0,1
42750,White,Female,30,Private,12,Adm-clerical,<=50K,>50K,-0.09350073470961907,-0.30814942655549027,0,0,1
2859,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,0,1
10847,White,Male,20,Local-gov,9,Protective-serv,<=50K,<=50K,-0.24551690326651857,0.28067929518447526,1,0,0
3012,White,Male,50,State-gov,9,Other-service,<=50K,>50K,-0.19493078530023272,0.05308635200220928,0,0,1
15734,White,Female,30,Private,10,Exec-managerial,<=50K,>50K,-0.13816563203398288,-0.061079729696555896,0,0,1
34093,Non-White,Female,20,Private,13,Adm-clerical,<=50K,<=50K,0.0008040347540755283,-0.3690197410845831,0,0,0
36662,Non-White,Female,40,Federal-gov,9,Adm-clerical,<=50K,>50K,-0.0926146322733637,-0.2339704775420113,0,0,1
3895,White,Male,50,Private,10,Transport-moving,<=50K,>50K,-0.14827714677622345,-0.2130074570574059,0,0,1
47858,White,Male,20,Private,10,Sales,<=50K,<=50K,-0.011942135843840447,-0.3849949762478801,0,0,0
48688,White,Male,80,Private,13,Exec-managerial,<=50K,<=50K,-0.26329668193310307,0.30789409399455603,1,0,0
26863,White,Female,20,Private,10,Adm-clerical,<=50K,<=50K,0.12589041979117946,-0.5244304268279493,0,0,0
15807,White,Female,20,Private,9,Handlers-cleaners,<=50K,<=50K,0.11507446816741168,-0.7184497358980708,0,0,0
6310,White,Male,50,Self-emp-not-inc,13,Exec-managerial,<=50K,>50K,-0.4847115352875158,0.6826590538469982,1,0,1
4960,Non-White,Female,30,Private,6,Other-service,<=50K,<=50K,0.26717253708729777,-0.7562312818934064,0,0,0
641,Non-White,Female,30,Unknown,7,Unknown,<=50K,<=50K,2.2656884327149682,0.3768190310357834,2,0,0
32446,Non-White,Female,30,Federal-gov,9,Exec-managerial,<=50K,<=50K,-0.1976763119426049,-0.009712072132112616,0,0,0
11000,White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,-0.030751442009167285,-0.6083481789730824,0,0,0
3019,White,Male,30,Local-gov,9,Other-service,<=50K,<=50K,-0.1850767624901634,-0.08125193135230037,0,0,0
5773,White,Male,60,Private,6,Machine-op-inspct,<=50K,>50K,0.28143640436617384,-0.35110977361151285,0,0,1
18308,White,Male,30,Private,11,Craft-repair,<=50K,>50K,-0.3083269896226084,-0.18762740292432087,0,0,1
25919,White,Male,20,Private,13,Adm-clerical,<=50K,<=50K,-0.16895587361640305,-0.18305290308016317,0,0,0
17926,White,Male,10,Private,10,Handlers-cleaners,<=50K,<=50K,0.3567231315946992,-0.7687928021727624,0,0,0
29611,White,Male,50,Private,9,Transport-moving,<=50K,>50K,-0.18656564617295446,-0.2693849239835755,0,0,1
9964,White,Male,50,Self-emp-not-inc,11,Exec-managerial,<=50K,>50K,-0.4282664054429517,0.5123510560205728,1,0,1
10424,White,Female,20,Private,9,Sales,<=50K,<=50K,0.06345469791915911,-0.5163857001267439,0,0,0
